('123.55.114.247', '9999', '河南省鹤壁市电信', 'HTTP')
('112.245.17.202', '8080', '山东省泰安市联通', 'HTTP')
('123.101.207.231', '9999', '河南省鹤壁市电信', 'HTTP')
('175.43.59.50', '9999', '福建省泉州市联通', 'HTTP')
('125.108.68.148', '9000', '浙江省温州市电信', 'HTTP')
('114.103.168.183', '3000', '安徽省宣城市电信', 'HTTP')
('221.224.136.211', '35101', '江苏省苏州市电信', 'HTTP')
('123.149.137.179', '9999', '河南省洛阳市电信', 'HTTP')
('175.44.108.84', '9999', '福建省南平市联通', 'HTTP')
('171.12.115.5', '9999', '河南省鹤壁市电信', 'HTTP')
('221.224.136.211', '35101', '江苏省苏州市电信', 'HTTP')
